n_clusters,silhouette,davies_bouldin
2,0.1707979309860249,2.0800738865547297
3,0.1415115101018467,1.732287057821951
4,0.11613735302779153,1.8812440034367865
5,0.05086561836276403,2.121464817973622
6,0.047359833247297936,2.2006630094407815
7,0.048559099380743834,2.210921221281847
8,0.04541932688457249,2.2286353783183204
9,0.024693190031513445,2.195260290007772
10,0.02885039651714777,2.1482181293740665
11,0.03001229379850049,2.218334031900886
12,0.031108944019092213,2.244520260326327
13,0.03268569425858178,2.2665437103485417
14,0.027803003788932867,2.240834497228364
15,0.030866299156845405,2.1698832326061224
16,0.03047738386224739,2.2728048194460895
17,0.0307141027395769,2.2808179310916854
18,0.028988717531133076,2.301089384939572
19,0.02523572661570042,2.3705273460036254
20,0.026206601251961423,2.31132344611403
21,0.02687506059260094,2.281001300314735
22,0.014983887195770632,2.305233953753358
23,0.016295992069394107,2.286460012152681
24,0.013688276759491365,2.3393427221657817
25,0.013905805652036439,2.3209572990254603
26,0.011827578566006806,2.3086298691576066
27,0.01161832021107115,2.3209382914979164
28,0.013528696488151153,2.3172246559495036
29,0.013722392127619817,2.32922546124219
30,0.01390831315885853,2.3214433032507054
