n_clusters,silhouette,davies_bouldin
2,0.09473247,2.24145129293268
3,0.097591095,2.077406459617044
4,0.084573574,2.7021839021938896
5,0.03765093,2.8665489733272276
6,0.040808097,2.6383119107568667
7,0.031670336,2.7521028401615526
8,0.022661915,2.761674777745239
9,0.020733444,2.790004242596648
10,0.0070332806,2.9846802724070525
11,-5.0899816e-05,2.916770891024325
12,0.005408755,2.8333220260414453
13,0.008534129,2.8683059676433484
14,0.008903464,2.898893815510235
15,0.0080599105,2.855718045149537
16,0.008559321,2.8611686108114256
17,0.0027007172,3.010881512461406
18,0.003745179,3.019503297303166
19,-0.0013690403,3.1093475811756024
20,-0.003524856,3.0528440849628398
21,-0.0023614601,2.99221965552334
22,-0.0027152023,2.940430360959152
23,-0.0035832266,3.0127447334710387
24,-0.0027308722,3.0184177796567053
25,-0.0035484945,3.031137431200813
26,-0.004582405,3.064243903769902
27,-0.003922688,3.046412839605903
28,-0.0028264585,3.0407979054228167
29,-0.0031504494,3.036296514068194
30,-0.002716808,3.029644273978768
