n_clusters,silhouette,davies_bouldin
2,0.08736355,2.1587893613580844
3,0.08534853,2.275059544901949
4,0.07483771,2.6874709587365784
5,0.043063547,2.764161984237113
6,0.03282332,2.746156683856254
7,0.032196343,2.5903980955264507
8,0.027358757,2.8324469308554736
9,0.02768922,2.9764264781913923
10,0.014551685,3.0585815288979807
11,0.0037994059,3.0546192490228914
12,-0.0041091978,3.1116250060673862
13,-0.0020557216,3.1326668298771807
14,-0.0036486923,3.0957468235399266
15,-0.0031713473,3.0610798113713193
16,-0.0027908448,3.0473238840539225
17,-0.00040107575,2.9673689126401865
18,-0.000906299,2.912936551499066
19,-0.000359723,2.888402366736044
20,-0.0017167152,2.921709932778893
21,3.2830928e-06,2.9638615114145903
22,0.0016207172,2.9580934937301553
23,0.0025477547,2.9118342364040553
24,0.0038121603,2.9344324950171803
25,1.4597668e-05,2.9560177651222057
26,-0.00046717926,2.972052934908644
27,0.0004812708,2.93887555646693
28,-0.002413482,3.041043271926111
29,-0.0067730844,3.151913367262133
30,-0.007106817,3.14832863460938
