n_clusters,silhouette,davies_bouldin
2,0.1364226126001409,12.100791536029174
3,-0.04970813890062068,10.04160786672152
4,-0.0431354716185932,8.419863013006724
5,-0.04353741097850188,8.332231514163542
6,-0.04075294628635087,8.063590496613854
7,-0.03753809025278658,7.226064950975982
8,-0.042043485821556204,6.872695110539012
9,-0.033070320472962905,6.53085990103258
10,-0.02896815450033386,6.157598792649397
11,-0.02490394019251772,5.839109409177623
12,-0.021199083331199152,5.585648263836437
13,-0.07140392591358824,5.7955744975988726
14,-0.06792711092404784,5.666422355147765
15,-0.06464852163947014,5.429261090638182
16,-0.06206072103150909,5.35486244220488
17,-0.05934572428735476,5.177107271104913
18,-0.05861896857128349,5.167519100067507
19,-0.05583454920282334,5.090170874818657
20,-0.05382429406538779,5.12520453491299
21,-0.051072892579319136,5.144082864500677
22,-0.04885112438820345,5.108090819441002
23,-0.0461628452356824,4.9952003024539495
24,-0.04362978990616989,4.81624541739606
25,-0.04213179786661051,4.886742111498771
26,-0.03904548580264433,4.766619768825954
27,-0.03737454906175124,4.712816411976379
28,-0.035594907745207495,4.662265554605447
29,-0.03129098621841646,4.842953946488857
30,-0.029648542632906227,4.780036997767889
