column,ngram range,ngram min,ngram max,stopwords,num tokens detected by vectorizer
Job Title clean,"2, 2",2,2,nltk,16295
Job Title clean,"2, 2",2,2,sklearn,16075
Job Title clean,"2, 2",2,2,nltk sklearn union,16064
Job Title clean,"2, 2",2,2,nltk sklearn intersect,16306
Job Title clean,"2, 3",2,3,no,40968
Job Title clean,"2, 3",2,3,nltk,38708
Job Title clean,"2, 3",2,3,sklearn,37828
Job Title clean,"2, 3",2,3,nltk sklearn union,37806
Job Title clean,"2, 3",2,3,nltk sklearn intersect,38730
Job Title clean,"3, 3",3,3,no,23952
Job Title clean,"3, 3",3,3,nltk,22413
Job Title clean,"3, 3",3,3,sklearn,21753
Job Title clean,"3, 3",3,3,nltk sklearn union,21742
Job Title clean,"3, 3",3,3,nltk sklearn intersect,22424
