n_clusters,silhouette,davies_bouldin
2,0.25154762576805956,2.1293998211159684
3,0.1468601896732751,1.9084890300614232
4,0.15439428139291383,1.883377539638884
5,0.14145082146918184,1.9774416373254577
6,0.14402044454840057,2.0261719791866937
7,0.031887021946010674,2.2177376104519104
8,0.036760920299034806,2.1412845111842107
9,0.02751256340871705,2.1769195925015756
10,0.03316179963140764,2.235896435708362
11,0.03509606735831599,2.20802753257202
12,0.03535239064925359,2.25464267162609
13,0.03610806553265325,2.2706398867326065
14,0.038390817358574296,2.2410603961514597
15,0.03927528211996885,2.215467580017221
16,0.04274227320149117,2.1539183552272605
17,0.04324796407456037,2.1781336563589733
18,0.04373438173841222,2.1172095199916563
19,0.046209683126729344,2.0974531636477196
20,0.037115646883724124,2.095204454897901
21,0.034558209450212284,2.069442583072502
22,0.03271215071990254,2.099117955619773
23,0.03295848782242727,2.106027559645308
24,0.034657779872050584,2.1269680249582823
25,0.026382918634215605,2.203989081009365
26,0.02952883055598185,2.2240770338252425
27,0.031200954636602895,2.237670203961906
28,0.025081394864179703,2.230981792812085
29,0.025732827774526647,2.2533181007041523
30,0.02341373002606568,2.2551040904791946
