n_clusters,silhouette,davies_bouldin
2,0.04715166113158363,1.2672599652932532
3,0.01191444582199797,5.761328924880696
4,0.011676552792911878,5.729155398207717
5,0.00471042156598571,5.511365440640443
6,0.003992817722763585,5.706914438129559
7,-0.010949452241617214,5.527244572250809
8,-0.007894520769405715,5.034864388670564
9,-0.00647367217396943,4.921437075600424
10,-0.0037297043073234192,5.0140243284554575
11,-0.0014798046092112443,4.904182221656698
12,0.0009067896792837782,4.631410880312667
13,-0.006315033659091125,4.724921888340647
14,-0.0066815995951258296,4.8074602741910555
15,-0.005205748071792393,5.0652620086184506
16,-0.003438056161147513,5.011162398194475
17,-0.0023528811408245463,4.856902741985602
18,-0.001450846216855822,4.988604333880856
19,0.00016094587196813855,4.7768449264230455
20,0.0014249762824155218,4.8526261755469315
21,0.002148535970774028,4.798450052845382
22,0.0034175765592679456,4.752041030393375
23,0.004783800424243982,4.654262722790478
24,0.005892127196035869,4.534393033127238
25,0.0070876954573488304,4.4569997017552865
26,0.008213977423605716,4.476154324013098
27,0.009869985357367815,4.365123903156454
28,0.010893718839438876,4.321719815386945
29,0.011983498608793955,4.335561879425791
30,0.013076223073939311,4.234288363349187
