n_clusters,silhouette,davies_bouldin
2,0.11479514,2.4190023167992787
3,0.07843503,2.7433806484709984
4,0.068046965,2.8960364647280263
5,0.042186394,2.869632876559165
6,0.049090445,2.67897462048796
7,0.034445345,2.8710892478458185
8,0.0312875,3.036507825128857
9,0.028479846,2.9303443303797345
10,0.027636655,2.959284951445732
11,0.018543186,2.962657118365421
12,0.020831922,3.0034793464854985
13,0.023988515,2.9471300840538035
14,0.01837539,2.922129015406555
15,0.014702191,2.821847162204562
16,0.012515059,2.924513273421633
17,0.01005546,2.986177369999235
18,0.012261672,2.9778336650573847
19,0.008368728,2.9967718078879453
20,0.009735208,2.974766105960054
21,0.00860994,2.9318775500792364
22,0.009766073,3.040297645968191
23,0.011434778,2.9979623931718327
24,0.012285599,2.9799405288346428
25,0.013605785,2.985555886333833
26,0.01428437,2.987137729809769
27,0.013450125,3.0042399508776976
28,0.008857271,3.020377400810307
29,0.009081898,2.99677360590846
30,0.010611635,2.923410539109378
