n_clusters,silhouette,davies_bouldin
2,0.10635637,2.6918715346818525
3,0.100655295,2.4087614041344785
4,0.092042364,2.6298216695488126
5,0.04233361,2.6854968564751838
6,0.036942557,2.745569101746568
7,0.040370684,2.6530433132931734
8,0.043838765,2.8561666863130277
9,0.02857009,2.8889230998164934
10,0.020635258,2.845309421074808
11,0.019092275,2.9821156667463695
12,0.017650794,2.850395981232436
13,0.01631183,2.879367229894929
14,0.019173505,2.8605651936694216
15,0.01749573,2.9318861550164894
16,0.011381773,3.0806763824055903
17,0.013565306,3.0962306203941434
18,0.014037936,3.1060781049865995
19,0.016174799,2.978904820571525
20,0.018632857,2.961025019245345
21,0.020272262,2.972711267043578
22,0.019475741,2.954774874882938
23,0.015232998,2.9897599149209544
24,0.014455252,3.0046437795995935
25,0.013774425,2.9841651717356514
26,0.012588925,2.9903521428175446
27,0.013757809,2.9616304747399216
28,0.015061557,2.9406115600071527
29,0.013703657,2.9635462295330406
30,0.013755545,2.975053385322434
